City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
500,pacific grove,36.6177,-121.9166,297.73,64,0,2.68,US,1697153534
501,amga,60.8953,131.9608,275.36,97,100,0.89,RU,1697153534
502,adigrat,14.277,39.462,286.49,83,4,1.82,ET,1697153535
503,kone,-21.0595,164.8658,299.61,55,44,1.89,NC,1697153536
504,ati,13.2154,18.3353,303.34,46,66,2.23,TD,1697153536
505,bandon,51.7469,-8.7425,286.92,99,100,4.57,IE,1697153537
506,rubio,7.7013,-72.3557,300.62,76,32,1.56,VE,1697153538
507,akureyri,65.6835,-18.0878,275.11,80,100,9.26,IS,1697153539
508,acapulco de juarez,16.8634,-99.8901,303.05,70,40,2.57,MX,1697153540
509,twon-brass,4.3151,6.2418,299.79,85,95,3.82,NG,1697153540
510,luderitz,-26.6481,15.1594,287.84,76,0,7.77,NA,1697153541
511,san juan de miraflores,-12.1629,-76.9635,293.24,77,86,2.73,PE,1697153542
512,kabare,-2.4683,28.8242,289.64,93,79,1.12,CD,1697153542
513,wokha,26.1,94.2667,285.1,98,7,1.4,IN,1697153543
514,laojunmiao,39.8333,97.7333,280.07,34,17,2.27,CN,1697153543
515,kuala belait,4.5833,114.1833,299.24,87,85,2.12,BN,1697153544
516,broken hill,-31.95,141.4333,288.13,46,0,5.96,AU,1697153468
517,jinghong,21.991,100.7341,294.03,99,100,0.64,CN,1697153545
518,boa vista,2.8197,-60.6733,306.14,46,0,4.12,BR,1697153546
519,angaur state,6.906,134.13,301.56,78,61,6.5,PW,1697153547
520,brak,27.5496,14.2714,295.39,36,19,4.92,LY,1697153548
521,kilinochchi,9.3961,80.3982,297.56,87,100,2.7,LK,1697153548
522,portland,45.5234,-122.6762,295.71,56,20,5.66,US,1697153251
523,val-des-monts,45.6501,-75.666,282.12,73,75,3.09,CA,1697153549
524,cidreira,-30.1811,-50.2056,287.76,68,98,5.05,BR,1697153550
525,progreso,21.2833,-89.6667,304.32,86,86,2.51,MX,1697153551
526,lensk,60.7253,114.9278,278.55,81,98,7.6,RU,1697153552
527,tlahualilo de zaragoza,26.1167,-103.45,301.0,39,0,2.91,MX,1697153552
528,galesong,-5.3166,119.3661,298.16,62,70,1.14,ID,1697153553
529,northam,51.0333,-4.2167,291.85,98,100,10.24,GB,1697153554
530,kayangel,8.0823,134.7173,301.07,81,95,7.7,PW,1697153554
531,mawu,29.5923,107.3139,287.35,97,100,0.27,CN,1697153555
532,hepo,23.4308,115.8299,295.67,79,8,1.63,CN,1697153556
533,gostagayevskaya,45.0228,37.5051,283.9,93,20,3.0,RU,1697153556
534,malanje,-9.5402,16.341,292.45,90,52,1.75,AO,1697153557
535,pisco,-13.7,-76.2167,292.6,77,0,7.72,PE,1697153316
536,lashkar gah,31.5938,64.3716,296.13,21,26,1.98,AF,1697153558
537,fisterra,42.9049,-9.2629,295.79,92,100,7.87,ES,1697153559
538,kalabo,-14.97,22.6814,296.4,59,81,2.64,ZM,1697153559
539,devils lake,48.1128,-98.8651,284.14,64,0,10.29,US,1697153560
540,yerofey pavlovich,53.9667,121.9667,280.97,62,77,2.0,RU,1697153562
